Year,,Month,Location,number of visitors,,,,,,,,,,,,,小計
101 (2012),101/01,2012/1,香港,"172,687",,,,,,,,,,,,,"861,148"
101 (2012),101/02,2012/2,香港,"162,344",,,,,,,,,,,,,"737,944"
101 (2012),101/03,2012/3,香港,"140,015",,,,,,,,,,,,,"689,111"
101 (2012),101/04,2012/4,香港,"165,907",,,,,,,,,,,,,"817,365"
101 (2012),101/05,2012/5,香港,"162,217",,,,,,,,,,,,,"812,881"
101 (2012),101/06,2012/6,香港,"182,643",,,,,,,,,,,,,"865,673"
101 (2012),101/07,2012/7,香港,"199,490",,,,,,,,,,,,,"995,692"
101 (2012),101/08,2012/8,香港,"185,595",,,,,,,,,,,,,"893,250"
101 (2012),101/09,2012/9,香港,"157,013",,,,,,,,,,,,,"781,515"
101 (2012),101/10,2012/10,香港,"181,475",,,,,,,,,,,,,"875,692"
101 (2012),101/11,2012/11,香港,"149,827",,,,,,,,,,,,,"749,622"
101 (2012),101/12,2012/12,香港,"161,999",,,,,,,,,,,,,"730,233"
102 (2013),102/01,2013/1,香港,"153,216",,,,,,,,,,,,,"729,072"
102 (2013),102/02,2013/2,香港,"200,670",,,,,,,,,,,,,"936,801"
102 (2013),102/03,2013/3,香港,"149,360",,,,,,,,,,,,,"787,330"
102 (2013),102/04,2013/4,香港,"180,319",,,,,,,,,,,,,"874,162"
102 (2013),102/05,2013/5,香港,"146,183",,,,,,,,,,,,,"821,421"
102 (2013),102/06,2013/6,香港,"174,775",,,,,,,,,,,,,"963,442"
102 (2013),102/07,2013/7,香港,"190,939",,,,,,,,,,,,,"1,048,416"
102 (2013),102/08,2013/8,香港,"184,125",,,,,,,,,,,,,"983,398"
102 (2013),102/09,2013/9,香港,"166,244",,,,,,,,,,,,,"931,737"
102 (2013),102/10,2013/10,香港,"183,024",,,,,,,,,,,,,"960,508"
102 (2013),102/11,2013/11,香港,"151,802",,,,,,,,,,,,,"822,892"
102 (2013),102/12,2013/12,香港,"158,075",,,,,,,,,,,,,"767,395"
103 (2014),103/01,2014/1,香港,"151,349",,,,,,,,,,,,,"823,718"
103 (2014),103/02,2014/2,香港,"189,882",,,,,,,,,,,,,"923,659"
103 (2014),103/03,2014/3,香港,"148,230",,,,,,,,,,,,,"838,941"
103 (2014),103/04,2014/4,香港,"158,636",,,,,,,,,,,,,"951,316"
103 (2014),103/05,2014/5,香港,"170,816",,,,,,,,,,,,,"1,009,120"
103 (2014),103/06,2014/6,香港,"190,489",,,,,,,,,,,,,"1,049,481"
103 (2014),103/07,2014/7,香港,"198,986",,,,,,,,,,,,,"1,123,208"
103 (2014),103/08,2014/8,香港,"185,035",,,,,,,,,,,,,"1,024,841"
103 (2014),103/09,2014/9,香港,"160,392",,,,,,,,,,,,,"924,232"
103 (2014),103/10,2014/10,香港,"173,328",,,,,,,,,,,,,"1,013,677"
103 (2014),103/11,2014/11,香港,"137,070",,,,,,,,,,,,,"857,401"
103 (2014),103/12,2014/12,香港,"153,916",,,,,,,,,,,,,"877,875"
104 (2015),104/01,2015/1,香港,"150,728",,,,,,,,,,,,,"885,316"
104 (2015),104/02,2015/2,香港,"150,888",,,,,,,,,,,,,"975,959"
104 (2015),104/03,2015/3,香港,"167,656",,,,,,,,,,,,,"1,036,814"
104 (2015),104/04,2015/4,香港,"164,119",,,,,,,,,,,,,"1,100,451"
104 (2015),104/05,2015/5,香港,"163,570",,,,,,,,,,,,,"1,108,642"
104 (2015),104/06,2015/6,香港,"183,219",,,,,,,,,,,,,"1,124,305"
104 (2015),104/07,2015/7,香港,"191,439",,,,,,,,,,,,,"1,210,032"
104 (2015),104/08,2015/8,香港,"185,245",,,,,,,,,,,,,"1,111,270"
104 (2015),104/09,2015/9,香港,"156,391",,,,,,,,,,,,,"1,022,745"
104 (2015),104/10,2015/10,香港,"182,691",,,,,,,,,,,,,"1,134,210"
104 (2015),104/11,2015/11,香港,"153,177",,,,,,,,,,,,,"1,010,945"
104 (2015),104/12,2015/12,香港,"159,030",,,,,,,,,,,,,"949,994"
105 (2016),105/01,2016/1,香港,"160,042",,,,,,,,,,,,,"1,043,783"
105 (2016),105/02,2016/2,香港,"180,189",,,,,,,,,,,,,"1,190,845"
105 (2016),105/03,2016/3,香港,"143,266",,,,,,,,,,,,,"1,046,095"
105 (2016),105/04,2016/4,香港,"170,906",,,,,,,,,,,,,"1,192,369"
105 (2016),105/05,2016/5,香港,"161,537",,,,,,,,,,,,,"1,180,082"
105 (2016),105/06,2016/6,香港,"187,887",,,,,,,,,,,,,"1,305,216"
105 (2016),105/07,2016/7,香港,"165,958",,,,,,,,,,,,,"1,326,568"
105 (2016),105/08,2016/8,香港,"158,045",,,,,,,,,,,,,"1,196,425"
105 (2016),105/09,2016/9,香港,"146,963",,,,,,,,,,,,,"1,164,973"
105 (2016),105/10,2016/10,香港,"147,329",,,,,,,,,,,,,"1,170,866"
105 (2016),105/11,2016/11,香港,"133,372",,,,,,,,,,,,,"1,051,282"
105 (2016),105/12,2016/12,香港,"147,153",,,,,,,,,,,,,"1,014,117"
106 (2017),106/01,2017/1,香港,"130,856",,,,,,,,,,,,,"1,078,136"
106 (2017),106/02,2017/2,香港,"172,217",,,,,,,,,,,,,"1,208,591"
106 (2017),106/03,2017/3,香港,"140,205",,,,,,,,,,,,,"1,131,272"
106 (2017),106/04,2017/4,香港,"142,568",,,,,,,,,,,,,"1,245,737"
106 (2017),106/05,2017/5,香港,"151,960",,,,,,,,,,,,,"1,277,932"
106 (2017),106/06,2017/6,香港,"150,348",,,,,,,,,,,,,"1,318,151"
106 (2017),106/07,2017/7,香港,"160,617",,,,,,,,,,,,,"1,392,854"
106 (2017),106/08,2017/8,香港,"154,977",,,,,,,,,,,,,"1,279,182"
106 (2017),106/09,2017/9,香港,"128,041",,,,,,,,,,,,,"1,125,844"
106 (2017),106/10,2017/10,香港,"158,145",,,,,,,,,,,,,"1,319,105"
101 (2012),101/01,2012/1,中國大陸,"258,728",,,,,,,,,,,,,
101 (2012),101/02,2012/2,中國大陸,"248,837",,,,,,,,,,,,,
101 (2012),101/03,2012/3,中國大陸,"236,894",,,,,,,,,,,,,
101 (2012),101/04,2012/4,中國大陸,"266,709",,,,,,,,,,,,,
101 (2012),101/05,2012/5,中國大陸,"272,775",,,,,,,,,,,,,
101 (2012),101/06,2012/6,中國大陸,"268,283",,,,,,,,,,,,,
101 (2012),101/07,2012/7,中國大陸,"296,306",,,,,,,,,,,,,
101 (2012),101/08,2012/8,中國大陸,"271,159",,,,,,,,,,,,,
101 (2012),101/09,2012/9,中國大陸,"247,490",,,,,,,,,,,,,
101 (2012),101/10,2012/10,中國大陸,"292,306",,,,,,,,,,,,,
101 (2012),101/11,2012/11,中國大陸,"250,231",,,,,,,,,,,,,
101 (2012),101/12,2012/12,中國大陸,"229,337",,,,,,,,,,,,,
102 (2013),102/01,2013/1,中國大陸,"206,418",,,,,,,,,,,,,
102 (2013),102/02,2013/2,中國大陸,"263,527",,,,,,,,,,,,,
102 (2013),102/03,2013/3,中國大陸,"244,035",,,,,,,,,,,,,
102 (2013),102/04,2013/4,中國大陸,"246,156",,,,,,,,,,,,,
102 (2013),102/05,2013/5,中國大陸,"230,912",,,,,,,,,,,,,
102 (2013),102/06,2013/6,中國大陸,"247,929",,,,,,,,,,,,,
102 (2013),102/07,2013/7,中國大陸,"284,747",,,,,,,,,,,,,
102 (2013),102/08,2013/8,中國大陸,"283,375",,,,,,,,,,,,,
102 (2013),102/09,2013/9,中國大陸,"271,078",,,,,,,,,,,,,
102 (2013),102/10,2013/10,中國大陸,"300,871",,,,,,,,,,,,,
102 (2013),102/11,2013/11,中國大陸,"258,093",,,,,,,,,,,,,
102 (2013),102/12,2013/12,中國大陸,"235,186",,,,,,,,,,,,,
103 (2014),103/01,2014/1,中國大陸,"198,382",,,,,,,,,,,,,
103 (2014),103/02,2014/2,中國大陸,"279,792",,,,,,,,,,,,,
103 (2014),103/03,2014/3,中國大陸,"241,546",,,,,,,,,,,,,
103 (2014),103/04,2014/4,中國大陸,"275,713",,,,,,,,,,,,,
103 (2014),103/05,2014/5,中國大陸,"282,707",,,,,,,,,,,,,
103 (2014),103/06,2014/6,中國大陸,"302,067",,,,,,,,,,,,,
103 (2014),103/07,2014/7,中國大陸,"312,254",,,,,,,,,,,,,
103 (2014),103/08,2014/8,中國大陸,"296,364",,,,,,,,,,,,,
103 (2014),103/09,2014/9,中國大陸,"269,049",,,,,,,,,,,,,
103 (2014),103/10,2014/10,中國大陸,"302,986",,,,,,,,,,,,,
103 (2014),103/11,2014/11,中國大陸,"248,285",,,,,,,,,,,,,
103 (2014),103/12,2014/12,中國大陸,"258,093",,,,,,,,,,,,,
104 (2015),104/01,2015/1,中國大陸,"240,112",,,,,,,,,,,,,
104 (2015),104/02,2015/2,中國大陸,"230,305",,,,,,,,,,,,,
104 (2015),104/03,2015/3,中國大陸,"297,043",,,,,,,,,,,,,
104 (2015),104/04,2015/4,中國大陸,"295,645",,,,,,,,,,,,,
104 (2015),104/05,2015/5,中國大陸,"297,885",,,,,,,,,,,,,
104 (2015),104/06,2015/6,中國大陸,"294,294",,,,,,,,,,,,,
104 (2015),104/07,2015/7,中國大陸,"315,481",,,,,,,,,,,,,
104 (2015),104/08,2015/8,中國大陸,"299,750",,,,,,,,,,,,,
104 (2015),104/09,2015/9,中國大陸,"271,600",,,,,,,,,,,,,
104 (2015),104/10,2015/10,中國大陸,"318,599",,,,,,,,,,,,,
104 (2015),104/11,2015/11,中國大陸,"286,248",,,,,,,,,,,,,
104 (2015),104/12,2015/12,中國大陸,"256,958",,,,,,,,,,,,,
105 (2016),105/01,2016/1,中國大陸,"241,113",,,,,,,,,,,,,
105 (2016),105/02,2016/2,中國大陸,"298,798",,,,,,,,,,,,,
105 (2016),105/03,2016/3,中國大陸,"270,766",,,,,,,,,,,,,
105 (2016),105/04,2016/4,中國大陸,"306,441",,,,,,,,,,,,,
105 (2016),105/05,2016/5,中國大陸,"315,102",,,,,,,,,,,,,
105 (2016),105/06,2016/6,中國大陸,"321,257",,,,,,,,,,,,,
105 (2016),105/07,2016/7,中國大陸,"346,297",,,,,,,,,,,,,
105 (2016),105/08,2016/8,中國大陸,"331,005",,,,,,,,,,,,,
105 (2016),105/09,2016/9,中國大陸,"312,406",,,,,,,,,,,,,
105 (2016),105/10,2016/10,中國大陸,"345,004",,,,,,,,,,,,,
105 (2016),105/11,2016/11,中國大陸,"312,770",,,,,,,,,,,,,
105 (2016),105/12,2016/12,中國大陸,"284,518",,,,,,,,,,,,,
106 (2017),106/01,2017/1,中國大陸,"244,084",,,,,,,,,,,,,
106 (2017),106/02,2017/2,中國大陸,"328,059",,,,,,,,,,,,,
106 (2017),106/03,2017/3,中國大陸,"306,038",,,,,,,,,,,,,
106 (2017),106/04,2017/4,中國大陸,"341,117",,,,,,,,,,,,,
106 (2017),106/05,2017/5,中國大陸,"348,528",,,,,,,,,,,,,
106 (2017),106/06,2017/6,中國大陸,"353,085",,,,,,,,,,,,,
106 (2017),106/07,2017/7,中國大陸,"362,466",,,,,,,,,,,,,
106 (2017),106/08,2017/8,中國大陸,"347,289",,,,,,,,,,,,,
106 (2017),106/09,2017/9,中國大陸,"302,646",,,,,,,,,,,,,
106 (2017),106/10,2017/10,中國大陸,"363,094",,,,,,,,,,,,,
101 (2012),101/01,2012/1,澳門,"39,986",,,,,,,,,,,,,
101 (2012),101/02,2012/2,澳門,"40,875",,,,,,,,,,,,,
101 (2012),101/03,2012/3,澳門,"38,428",,,,,,,,,,,,,
101 (2012),101/04,2012/4,澳門,"41,305",,,,,,,,,,,,,
101 (2012),101/05,2012/5,澳門,"39,191",,,,,,,,,,,,,
101 (2012),101/06,2012/6,澳門,"43,831",,,,,,,,,,,,,
101 (2012),101/07,2012/7,澳門,"54,450",,,,,,,,,,,,,
101 (2012),101/08,2012/8,澳門,"52,239",,,,,,,,,,,,,
101 (2012),101/09,2012/9,澳門,"47,937",,,,,,,,,,,,,
101 (2012),101/10,2012/10,澳門,"45,955",,,,,,,,,,,,,
101 (2012),101/11,2012/11,澳門,"39,890",,,,,,,,,,,,,
101 (2012),101/12,2012/12,澳門,"42,963",,,,,,,,,,,,,
102 (2013),102/01,2013/1,澳門,"36,624",,,,,,,,,,,,,
102 (2013),102/02,2013/2,澳門,"45,579",,,,,,,,,,,,,
102 (2013),102/03,2013/3,澳門,"38,616",,,,,,,,,,,,,
102 (2013),102/04,2013/4,澳門,"40,397",,,,,,,,,,,,,
102 (2013),102/05,2013/5,澳門,"30,785",,,,,,,,,,,,,
102 (2013),102/06,2013/6,澳門,"39,409",,,,,,,,,,,,,
102 (2013),102/07,2013/7,澳門,"46,145",,,,,,,,,,,,,
102 (2013),102/08,2013/8,澳門,"52,595",,,,,,,,,,,,,
102 (2013),102/09,2013/9,澳門,"47,569",,,,,,,,,,,,,
102 (2013),102/10,2013/10,澳門,"48,345",,,,,,,,,,,,,
102 (2013),102/11,2013/11,澳門,"44,472",,,,,,,,,,,,,
102 (2013),102/12,2013/12,澳門,"44,165",,,,,,,,,,,,,
103 (2014),103/01,2014/1,澳門,"38,222",,,,,,,,,,,,,
103 (2014),103/02,2014/2,澳門,"43,567",,,,,,,,,,,,,
103 (2014),103/03,2014/3,澳門,"38,472",,,,,,,,,,,,,
103 (2014),103/04,2014/4,澳門,"39,267",,,,,,,,,,,,,
103 (2014),103/05,2014/5,澳門,"39,347",,,,,,,,,,,,,
103 (2014),103/06,2014/6,澳門,"44,996",,,,,,,,,,,,,
103 (2014),103/07,2014/7,澳門,"47,045",,,,,,,,,,,,,
103 (2014),103/08,2014/8,澳門,"44,455",,,,,,,,,,,,,
103 (2014),103/09,2014/9,澳門,"40,351",,,,,,,,,,,,,
103 (2014),103/10,2014/10,澳門,"42,147",,,,,,,,,,,,,
103 (2014),103/11,2014/11,澳門,"34,723",,,,,,,,,,,,,
103 (2014),103/12,2014/12,澳門,"40,596",,,,,,,,,,,,,
104 (2015),104/01,2015/1,澳門,"39,164",,,,,,,,,,,,,
104 (2015),104/02,2015/2,澳門,"38,721",,,,,,,,,,,,,
104 (2015),104/03,2015/3,澳門,"40,273",,,,,,,,,,,,,
104 (2015),104/04,2015/4,澳門,"44,404",,,,,,,,,,,,,
104 (2015),104/05,2015/5,澳門,"41,120",,,,,,,,,,,,,
104 (2015),104/06,2015/6,澳門,"43,137",,,,,,,,,,,,,
104 (2015),104/07,2015/7,澳門,"48,597",,,,,,,,,,,,,
104 (2015),104/08,2015/8,澳門,"46,988",,,,,,,,,,,,,
104 (2015),104/09,2015/9,澳門,"43,456",,,,,,,,,,,,,
104 (2015),104/10,2015/10,澳門,"47,602",,,,,,,,,,,,,
104 (2015),104/11,2015/11,澳門,"46,936",,,,,,,,,,,,,
104 (2015),104/12,2015/12,澳門,"46,746",,,,,,,,,,,,,
105 (2016),105/01,2016/1,澳門,"46,638",,,,,,,,,,,,,
105 (2016),105/02,2016/2,澳門,"52,543",,,,,,,,,,,,,
105 (2016),105/03,2016/3,澳門,"42,649",,,,,,,,,,,,,
105 (2016),105/04,2016/4,澳門,"51,557",,,,,,,,,,,,,
105 (2016),105/05,2016/5,澳門,"45,974",,,,,,,,,,,,,
105 (2016),105/06,2016/6,澳門,"54,522",,,,,,,,,,,,,
105 (2016),105/07,2016/7,澳門,"55,577",,,,,,,,,,,,,
105 (2016),105/08,2016/8,澳門,"51,251",,,,,,,,,,,,,
105 (2016),105/09,2016/9,澳門,"50,411",,,,,,,,,,,,,
105 (2016),105/10,2016/10,澳門,"48,577",,,,,,,,,,,,,
105 (2016),105/11,2016/11,澳門,"46,799",,,,,,,,,,,,,
105 (2016),105/12,2016/12,澳門,"52,352",,,,,,,,,,,,,
106 (2017),106/01,2017/1,澳門,"43,339",,,,,,,,,,,,,
106 (2017),106/02,2017/2,澳門,"51,969",,,,,,,,,,,,,
106 (2017),106/03,2017/3,澳門,"45,014",,,,,,,,,,,,,
106 (2017),106/04,2017/4,澳門,"48,988",,,,,,,,,,,,,
106 (2017),106/05,2017/5,澳門,"49,950",,,,,,,,,,,,,
106 (2017),106/06,2017/6,澳門,"49,553",,,,,,,,,,,,,
106 (2017),106/07,2017/7,澳門,"56,969",,,,,,,,,,,,,
106 (2017),106/08,2017/8,澳門,"50,971",,,,,,,,,,,,,
106 (2017),106/09,2017/9,澳門,"48,531",,,,,,,,,,,,,
106 (2017),106/10,2017/10,澳門,"48,013",,,,,,,,,,,,,
101 (2012),101/01,2012/1,日本,"133,945",,,,,,,,,,,,,
101 (2012),101/02,2012/2,日本,"90,318",,,,,,,,,,,,,
101 (2012),101/03,2012/3,日本,"94,258",,,,,,,,,,,,,
101 (2012),101/04,2012/4,日本,"143,550",,,,,,,,,,,,,
101 (2012),101/05,2012/5,日本,"132,010",,,,,,,,,,,,,
101 (2012),101/06,2012/6,日本,"137,292",,,,,,,,,,,,,
101 (2012),101/07,2012/7,日本,"166,674",,,,,,,,,,,,,
101 (2012),101/08,2012/8,日本,"141,957",,,,,,,,,,,,,
101 (2012),101/09,2012/9,日本,"124,637",,,,,,,,,,,,,
101 (2012),101/10,2012/10,日本,"142,486",,,,,,,,,,,,,
101 (2012),101/11,2012/11,日本,"132,920",,,,,,,,,,,,,
101 (2012),101/12,2012/12,日本,"120,253",,,,,,,,,,,,,
102 (2013),102/01,2013/1,日本,"128,322",,,,,,,,,,,,,
102 (2013),102/02,2013/2,日本,"166,278",,,,,,,,,,,,,
102 (2013),102/03,2013/3,日本,"157,345",,,,,,,,,,,,,
102 (2013),102/04,2013/4,日本,"203,211",,,,,,,,,,,,,
102 (2013),102/05,2013/5,日本,"207,335",,,,,,,,,,,,,
102 (2013),102/06,2013/6,日本,"246,734",,,,,,,,,,,,,
102 (2013),102/07,2013/7,日本,"254,001",,,,,,,,,,,,,
102 (2013),102/08,2013/8,日本,"213,804",,,,,,,,,,,,,
102 (2013),102/09,2013/9,日本,"217,611",,,,,,,,,,,,,
102 (2013),102/10,2013/10,日本,"217,798",,,,,,,,,,,,,
102 (2013),102/11,2013/11,日本,"180,498",,,,,,,,,,,,,
102 (2013),102/12,2013/12,日本,"153,070",,,,,,,,,,,,,
103 (2014),103/01,2014/1,日本,"210,834",,,,,,,,,,,,,
103 (2014),103/02,2014/2,日本,"201,225",,,,,,,,,,,,,
103 (2014),103/03,2014/3,日本,"219,857",,,,,,,,,,,,,
103 (2014),103/04,2014/4,日本,"270,335",,,,,,,,,,,,,
103 (2014),103/05,2014/5,日本,"294,242",,,,,,,,,,,,,
103 (2014),103/06,2014/6,日本,"271,059",,,,,,,,,,,,,
103 (2014),103/07,2014/7,日本,"297,662",,,,,,,,,,,,,
103 (2014),103/08,2014/8,日本,"247,161",,,,,,,,,,,,,
103 (2014),103/09,2014/9,日本,"231,246",,,,,,,,,,,,,
103 (2014),103/10,2014/10,日本,"270,304",,,,,,,,,,,,,
103 (2014),103/11,2014/11,日本,"241,429",,,,,,,,,,,,,
103 (2014),103/12,2014/12,日本,"216,492",,,,,,,,,,,,,
104 (2015),104/01,2015/1,日本,"225,116",,,,,,,,,,,,,
104 (2015),104/02,2015/2,日本,"283,635",,,,,,,,,,,,,
104 (2015),104/03,2015/3,日本,"285,122",,,,,,,,,,,,,
104 (2015),104/04,2015/4,日本,"346,365",,,,,,,,,,,,,
104 (2015),104/05,2015/5,日本,"352,263",,,,,,,,,,,,,
104 (2015),104/06,2015/6,日本,"356,669",,,,,,,,,,,,,
104 (2015),104/07,2015/7,日本,"374,662",,,,,,,,,,,,,
104 (2015),104/08,2015/8,日本,"326,325",,,,,,,,,,,,,
104 (2015),104/09,2015/9,日本,"313,415",,,,,,,,,,,,,
104 (2015),104/10,2015/10,日本,"351,495",,,,,,,,,,,,,
104 (2015),104/11,2015/11,日本,"307,177",,,,,,,,,,,,,
104 (2015),104/12,2015/12,日本,"275,635",,,,,,,,,,,,,
105 (2016),105/01,2016/1,日本,"331,876",,,,,,,,,,,,,
105 (2016),105/02,2016/2,日本,"359,908",,,,,,,,,,,,,
105 (2016),105/03,2016/3,日本,"341,162",,,,,,,,,,,,,
105 (2016),105/04,2016/4,日本,"394,630",,,,,,,,,,,,,
105 (2016),105/05,2016/5,日本,"391,554",,,,,,,,,,,,,
105 (2016),105/06,2016/6,日本,"410,889",,,,,,,,,,,,,
105 (2016),105/07,2016/7,日本,"409,644",,,,,,,,,,,,,
105 (2016),105/08,2016/8,日本,"345,359",,,,,,,,,,,,,
105 (2016),105/09,2016/9,日本,"354,621",,,,,,,,,,,,,
105 (2016),105/10,2016/10,日本,"359,875",,,,,,,,,,,,,
105 (2016),105/11,2016/11,日本,"310,510",,,,,,,,,,,,,
105 (2016),105/12,2016/12,日本,"285,212",,,,,,,,,,,,,
106 (2017),106/01,2017/1,日本,"347,036",,,,,,,,,,,,,
106 (2017),106/02,2017/2,日本,"349,758",,,,,,,,,,,,,
106 (2017),106/03,2017/3,日本,"351,362",,,,,,,,,,,,,
106 (2017),106/04,2017/4,日本,"419,923",,,,,,,,,,,,,
106 (2017),106/05,2017/5,日本,"412,299",,,,,,,,,,,,,
106 (2017),106/06,2017/6,日本,"441,965",,,,,,,,,,,,,
106 (2017),106/07,2017/7,日本,"448,171",,,,,,,,,,,,,
106 (2017),106/08,2017/8,日本,"388,334",,,,,,,,,,,,,
